id,name,price,link,mileage
161,Citroen C4 1.6hdi kupe,2.600 €,/auto-oglasi/19713860/citroen-c4-16hdi-kupe?attp=p0_pv0_pc0_pl1_plv0,33.000 km
162,Citroen C4 2.0 HDI,2.300 €,/auto-oglasi/19713461/citroen-c4-20-hdi?attp=p0_pv0_pc0_pl1_plv0,264.537 km
163,Citroen C4,2.900 €,/auto-oglasi/19713484/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,245.000 km
164,Citroen C4 1. 6 hdi,2.050 €,/auto-oglasi/19713444/citroen-c4-1-6-hdi?attp=p0_pv0_pc0_pl1_plv0,256.000 km
165,Citroen C4 hdi,3.200 €,/auto-oglasi/19713437/citroen-c4-hdi?attp=p0_pv0_pc0_pl1_plv0,224.639 km
166,Citroen C4 sx pack (može zamena),2.500 €,/auto-oglasi/19713448/citroen-c4-sx-pack?attp=p0_pv0_pc0_pl1_plv0,200.000 km
167,Citroen C4 1.6hdi,6.500 €,/auto-oglasi/19712718/citroen-c4-16hdi?attp=p0_pv0_pc0_pl1_plv0,198.000 km
168,Citroen C4 1.587,2.700 2.450 €,/auto-oglasi/19374270/citroen-c4-1587?attp=p0_pv0_pc0_pl1_plv0,179.000 km
169,Citroen C4 1.6hdi (može zamena),8.000 €,/auto-oglasi/19374021/citroen-c4-16hdi?attp=p0_pv0_pc0_pl1_plv0,97.000 km
170,Citroen C4 1.6e-hdi STT,8.800 € + registracija,/auto-oglasi/19561503/citroen-c4-16e-hdi-stt?attp=p0_pv0_pc0_pl1_plv0,66.000 km
171,Citroen C4 1.6 eHDI,5.100 € + registracija,/auto-oglasi/19458614/citroen-c4-16-ehdi?attp=p0_pv0_pc0_pl1_plv0,151.000 km
172,Citroen C4 1.6 BLU USB ABS LED,8.550 € + registracija,/auto-oglasi/19155104/citroen-c4-16-blu-usb-abs-led?attp=p0_pv0_pc0_pl1_plv0,142.765 km
